ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2019,2,NARI�O,OLAYA HERRERA,32,25282,25
2018,3,LA GUAJIRA,DIBULLA,37,37740,38
2019,1,CORDOBA,LOS CORDOBAS,133,19038,19
2019,2,RISARALDA,MISTRATO,245,17110,17
2019,2,ATLANTICO,SABANAGRANDE,1552,33858,35
2018,3,PUTUMAYO,SIBUNDOY,699,14940,16
2018,3,CALDAS,CHINCHINA,6650,51271,51
2019,4,ANTIOQUIA,SEGOVIA,7127,38692,39
2019,1,HUILA,IQUIRA,122,9291,10
2020,1,META,LEJANIAS,53,11162,12
2020,1,CHOCO,SAN JOSE DEL PALMAR,31,4961,6
2019,3,ATLANTICO,BARANOA,2955,64949,66
2019,4,GUAINIA,MORICHAL,6,937,2
2019,4,CUNDINAMARCA,GAMA,40,3152,4
2020,1,ANTIOQUIA,CAICEDO,273,8536,9
2019,4,CUNDINAMARCA,SAN FRANCISCO,548,11316,12
2018,4,CALDAS,RIOSUCIO,2208,50775,51
2019,3,CUNDINAMARCA,CHOACHI,743,11213,11
2019,4,CUNDINAMARCA,MOSQUERA,32732,141171,141
2018,3,SUCRE,SAN ONOFRE,519,49633,51
2018,4,CHOCO,LLORO,35,9786,11
2018,3,ANTIOQUIA,PUEBLORRICO,477,8664,9
2018,4,AMAZONAS,EL ENCANTO,3,2100,3
2020,1,CALDAS,LA MERCED,65,5882,6
2019,1,PUTUMAYO,LEGUIZAMO,852,29001,30
2019,2,SUCRE,COROZAL,5992,69268,69
2019,4,CUNDINAMARCA,UTICA,51,4324,5
2019,1,META,FUENTE DE ORO,303,12266,12
2018,3,BOYACA,LABRANZAGRANDE,71,3526,4
2019,3,ANTIOQUIA,DABEIBA,1230,23255,24
2019,1,CORDOBA,TIERRALTA,3171,93873,95
2018,4,TOLIMA,RIOBLANCO,233,22771,24
2019,1,ATLANTICO,SANTO TOMAS,1797,31027,31
2019,2,CORDOBA,VALENCIA,911,36042,36
2019,1,LA GUAJIRA,MAICAO,8955,178832,180
2019,3,RISARALDA,GUATICA,297,12108,13
2020,1,CESAR,ASTREA,29,21062,21
2020,1,CUNDINAMARCA,COTA,8090,36992,37
2019,1,ANTIOQUIA,ABEJORRAL,1072,20258,21
2019,2,CALDAS,FILADELFIA,195,11399,11
2019,2,CHOCO,ACANDI,562,14085,15
